codice,nome
A01,A1 Milano-Napoli
A03,A3 Napoli-Salerno
A04,A4 Torino-Trieste
A05,A5 Torino-Aosta-Monte Bianco
A06,A6 Torino-Savona
A07,A7 Milano-Serravalle-Genova
A08,A8 Milano-Varese
A09,A9 Lainate-Como-Chiasso
A10,A10 Genova-Savona-Ventimiglia
A11,A11 Firenze-Pisa nord
A12,A12 Genova-Rosignano Marittimo
A12,A12 Roma-Civitavecchia-Tarquinia
A13,A13 Bologna-Padova
A14,A14 Bologna-Taranto
A15,A15 Parma-La Spezia
A16,A16 Napoli-Canosa
A18,A18 Messina-Catania
A20,A20 Messina-Palermo
A21,A21 Torino-Piacenza-Brescia
A22,A22 Brennero-Modena
A23,A23 Palmanova-Udine-Tarvisio
A24,A24 Roma-L'Aquila-Teramo
A25,A25 Torano-Pescara
A26,A26 Ge.Voltri-SS 33 Semp.-Gravell.Toce
A27,A27 Venezia-Belluno
A28,A28 Portogruaro-Pordenone-Conegliano
A30,A30 Caserta-Salerno
A31,A31 Vicenza-Valdastico
A32,A32 Torino-Bardonecchia
A33,A33 Asti-Cuneo
A33,A33 Asti - A6
A56,Tangenziale Napoli
A57,A57 Tangenziale di Mestre
A58,TANG EST ESTERNA MILANO
